Date,Symbol,Open,Close,Low,High,Volume
2014-05-21,WMT,25.31333351135254,25.219999313354492,25.09000015258789,25.31999969482422,17112300
2014-05-22,WMT,25.26333236694336,25.1299991607666,25.079999923706055,25.30666732788086,15731100
2014-05-23,WMT,25.18666648864746,25.203332901000977,25.143333435058594,25.25,11110800
2014-05-27,WMT,25.23666763305664,25.196666717529297,25.09666633605957,25.270000457763672,16112400
2014-05-28,WMT,25.126667022705078,25.176666259765625,25.113332748413086,25.31333351135254,15110700
2014-05-29,WMT,25.22333335876465,25.32666778564453,25.190000534057617,25.39666748046875,12010500
2014-05-30,WMT,25.35333251953125,25.59000015258789,25.336666107177734,25.60333251953125,17894400
2014-06-02,WMT,25.52666664123535,25.586666107177734,25.489999771118164,25.703332901000977,13171200
2014-06-03,WMT,25.579999923706055,25.56999969482422,25.453332901000977,25.656667709350586,21640800
2014-06-04,WMT,25.53333282470703,25.709999084472656,25.510000228881836,25.766666412353516,18599700
2014-06-05,WMT,25.683332443237305,25.773332595825195,25.623332977294922,25.81333351135254,14087400
2014-06-06,WMT,25.81999969482422,25.73666763305664,25.690000534057617,25.863332748413086,12566700
2014-06-09,WMT,25.690000534057617,25.670000076293945,25.566667556762695,25.920000076293945,16642800
2014-06-10,WMT,25.60333251953125,25.540000915527344,25.503332138061523,25.64666748046875,10097100
2014-06-11,WMT,25.516666412353516,25.386667251586914,25.350000381469727,25.579999923706055,13389900
2014-06-12,WMT,25.350000381469727,25.24333381652832,25.19333267211914,25.39666748046875,16009800
2014-06-13,WMT,25.22333335876465,25.093332290649414,25.040000915527344,25.253332138061523,14944500
2014-06-16,WMT,25.036666870117188,25.113332748413086,25.00666618347168,25.15999984741211,11540700
2014-06-17,WMT,25.09666633605957,24.996667861938477,24.97333335876465,25.139999389648438,19632600
2014-06-18,WMT,25.01333236694336,25.233333587646484,24.97333335876465,25.31999969482422,20222100
2014-06-19,WMT,25.293333053588867,25.290000915527344,25.266666412353516,25.426666259765625,15765900
2014-06-20,WMT,25.386667251586914,25.226667404174805,25.040000915527344,25.389999389648438,33992100
2014-06-23,WMT,25.18666648864746,25.26333236694336,25.100000381469727,25.31333351135254,12802200
2014-06-24,WMT,25.343332290649414,25.323333740234375,25.226667404174805,25.40333366394043,16956900
2014-06-25,WMT,25.253332138061523,25.206666946411133,25.093332290649414,25.280000686645508,12954600
2014-06-26,WMT,25.17333221435547,24.969999313354492,24.899999618530273,25.203332901000977,20766300
